ExtraNote:	EstID	P1-13-6	sitch	C2	onstime	1260
ExtraNote:	EstID	P1-13-5	sitch	C2	onstime	1248
ExtraNote:	EstID	P1-13-4	sitch	C2	onstime	1236
ExtraNote:	EstID	P1-13-3	sitch	C2	onstime	1224
ExtraNote:	EstID	P1-13-2	sitch	C2	onstime	1212
ExtraNote:	EstID	P1-13-1	sitch	C2	onstime	1200
ExtraNote:	EstID	P1-12-12	sitch	C2	onstime	1188
ExtraNote:	EstID	P1-11-3	sitch	C2	onstime	1020
ExtraNote:	EstID	P1-11-2	sitch	C2	onstime	1008
ExtraNote:	EstID	P1-3-6	sitch	C2	onstime	300
ExtraNote:	EstID	P1-3-5	sitch	C2	onstime	288
ExtraNote:	EstID	P1-3-4	sitch	C2	onstime	276
ExtraNote:	EstID	P1-3-3	sitch	C2	onstime	264
ExtraNote:	EstID	P1-3-2	sitch	C2	onstime	252
ExtraNote:	EstID	P1-3-1	sitch	C2	onstime	240
ExtraNote:	EstID	P1-1-10	sitch	A#2	onstime	108
ExtraNote:	EstID	P1-1-7	sitch	E3	onstime	72
ExtraNote:	EstID	P1-1-6	sitch	A#2	onstime	60
ExtraNote:	EstID	P1-1-3	sitch	A#2	onstime	24
MissNote:	GtID	P1-18-3	sitch	E5	onstime	2425
MissNote:	GtID	P1-18-2	sitch	G5	onstime	2413
MissNote:	GtID	P1-18-1	sitch	C2	onstime	2401
MissNote:	GtID	P1-17-12	sitch	G5	onstime	2395
MissNote:	GtID	P1-17-8	sitch	G5	onstime	2353
MissNote:	GtID	P1-17-7	sitch	C2	onstime	2341
MissNote:	GtID	P1-17-6	sitch	G5	onstime	2335
MissNote:	GtID	P1-15-6	sitch	E5	onstime	2065
MissNote:	GtID	P1-11-9	sitch	C#2	onstime	1500
MissNote:	GtID	P1-11-8	sitch	C#2	onstime	1488
MissNote:	GtID	P1-11-7	sitch	C#2	onstime	1476
MissNote:	GtID	P1-11-6	sitch	C#2	onstime	1464
MissNote:	GtID	P1-11-5	sitch	C#2	onstime	1452
MissNote:	GtID	P1-11-4	sitch	C#2	onstime	1440
MissNote:	GtID	P1-6-3	sitch	C4	onstime	618
MissNote:	GtID	P1-1-11	sitch	A#2	onstime	158
MissNote:	GtID	P1-1-8	sitch	E3	onstime	122
MissNote:	GtID	P1-1-2	sitch	G2	onstime	50
MissNote:	GtID	P1-1-1	sitch	C#2	onstime	0
PitchError:	GtID	P1-16-3	EstID	P1-12-10	GtSitch	C#3	EstSitch	C#2	GtOnstime	2155	EstOnstime	1164
PitchError:	GtID	P1-18-10	EstID	P1-15-5	GtSitch	C3	EstSitch	C2	GtOnstime	2547	EstOnstime	1536
OnsetError(shift):	GtID	P1-1-5	EstID	P1-1-4	GtSitch	E3	EstSitch	E3	GtOnstime	86	EstOnstime	36
OnsetError(shift):	GtID	P1-1-7	EstID	P1-1-8	GtSitch	G2	EstSitch	G2	GtOnstime	110	EstOnstime	84
OnsetError(shift):	GtID	P1-1-9	EstID	P1-1-9	GtSitch	A#2	EstSitch	A#2	GtOnstime	134	EstOnstime	96
OnsetError(shift):	GtID	P1-1-10	EstID	P1-1-11	GtSitch	E3	EstSitch	E3	GtOnstime	146	EstOnstime	120
OnsetError(shift):	GtID	P1-1-12	EstID	P1-1-12	GtSitch	G2	EstSitch	G2	GtOnstime	170	EstOnstime	132
OnsetError(shift):	GtID	P1-2-2	EstID	P1-1-18	GtSitch	G2	EstSitch	G2	GtOnstime	280	EstOnstime	204
OnsetError(shift):	GtID	P1-4-1	EstID	P1-3-7	GtSitch	C2	EstSitch	C2	GtOnstime	354	EstOnstime	312
OnsetError(shift):	GtID	P1-6-4	EstID	P1-5-10	GtSitch	C2	EstSitch	C2	GtOnstime	668	EstOnstime	576
OnsetError(shift):	GtID	P1-10-1	EstID	P1-7-6	GtSitch	C#2	EstSitch	C#2	GtOnstime	1296	EstOnstime	804
OnsetError(shift):	GtID	P1-11-10	EstID	P1-9-6	GtSitch	C#2	EstSitch	C#2	GtOnstime	1512	EstOnstime	948
OnsetError(shift):	GtID	P1-13-1	EstID	P1-10-1	GtSitch	C5	EstSitch	C5	GtOnstime	1724	EstOnstime	960
OnsetError(shift):	GtID	P1-13-2	EstID	P1-10-2	GtSitch	C5	EstSitch	C5	GtOnstime	1730	EstOnstime	972
OnsetError(shift):	GtID	P1-13-3	EstID	P1-10-3	GtSitch	C5	EstSitch	C5	GtOnstime	1755	EstOnstime	984
OnsetError(shift):	GtID	P1-15-1	EstID	P1-11-1	GtSitch	C2	EstSitch	C2	GtOnstime	2005	EstOnstime	996
OnsetError(shift):	GtID	P1-15-2	EstID	P1-11-4	GtSitch	C2	EstSitch	C2	GtOnstime	2017	EstOnstime	1032
OnsetError(shift):	GtID	P1-15-7	EstID	P1-12-3	GtSitch	C2	EstSitch	C2	GtOnstime	2071	EstOnstime	1080
OnsetError(shift):	GtID	P1-16-5	EstID	P1-13-7	GtSitch	C2	EstSitch	C2	GtOnstime	2179	EstOnstime	1272
OnsetError(shift):	GtID	P1-17-9	EstID	P1-14-8	GtSitch	C2	EstSitch	C2	GtOnstime	2359	EstOnstime	1428
OnsetError(shift):	GtID	P1-18-4	EstID	P1-14-11	GtSitch	C2	EstSitch	C2	GtOnstime	2475	EstOnstime	1464
OnsetError(shift):	GtID	P1-18-11	EstID	P1-15-6	GtSitch	C2	EstSitch	C2	GtOnstime	2597	EstOnstime	1548
OffsetError:	GtID	P1-1-4	EstID	P1-1-2	GtSitch	A#2	EstSitch	C#2	GtOnstime	74	EstOnstime	12	GtLength	12	EstLength(rescaled)	6
OffsetError:	GtID	P1-1-6	EstID	P1-1-5	GtSitch	A#2	EstSitch	G2	GtOnstime	98	EstOnstime	48	GtLength	12	EstLength(rescaled)	4
OffsetError:	GtID	P1-1-7	EstID	P1-1-8	GtSitch	G2	EstSitch	G2	GtOnstime	110	EstOnstime	84	GtLength	12	EstLength(rescaled)	24
OffsetError:	GtID	P1-1-9	EstID	P1-1-9	GtSitch	A#2	EstSitch	A#2	GtOnstime	134	EstOnstime	96	GtLength	12	EstLength(rescaled)	6
OffsetError:	GtID	P1-1-10	EstID	P1-1-11	GtSitch	E3	EstSitch	E3	GtOnstime	146	EstOnstime	120	GtLength	12	EstLength(rescaled)	24
OffsetError:	GtID	P1-3-1	EstID	P1-2-1	GtSitch	C2	EstSitch	C2	GtOnstime	304	EstOnstime	228	GtLength	50	EstLength(rescaled)	7
OffsetError:	GtID	P1-6-2	EstID	P1-5-9	GtSitch	C2	EstSitch	C2	GtOnstime	606	EstOnstime	564	GtLength	12	EstLength(rescaled)	62
OffsetError:	GtID	P1-7-9	EstID	P1-7-5	GtSitch	C2	EstSitch	C2	GtOnstime	884	EstOnstime	792	GtLength	12	EstLength(rescaled)	412
OffsetError:	GtID	P1-11-3	EstID	P1-9-5	GtSitch	C#2	EstSitch	C#2	GtOnstime	1428	EstOnstime	936	GtLength	12	EstLength(rescaled)	84
OffsetError:	GtID	P1-11-10	EstID	P1-9-6	GtSitch	C#2	EstSitch	C#2	GtOnstime	1512	EstOnstime	948	GtLength	12	EstLength(rescaled)	212
OffsetError:	GtID	P1-13-3	EstID	P1-10-3	GtSitch	C5	EstSitch	C5	GtOnstime	1755	EstOnstime	984	GtLength	50	EstLength(rescaled)	250
OffsetError:	GtID	P1-15-1	EstID	P1-11-1	GtSitch	C2	EstSitch	C2	GtOnstime	2005	EstOnstime	996	GtLength	12	EstLength(rescaled)	4
OffsetError:	GtID	P1-15-5	EstID	P1-12-2	GtSitch	C2	EstSitch	C2	GtOnstime	2053	EstOnstime	1068	GtLength	12	EstLength(rescaled)	18
OffsetError:	GtID	P1-16-4	EstID	P1-12-11	GtSitch	C2	EstSitch	C2	GtOnstime	2167	EstOnstime	1176	GtLength	12	EstLength(rescaled)	1
OffsetError:	GtID	P1-17-5	EstID	P1-14-7	GtSitch	C2	EstSitch	C2	GtOnstime	2323	EstOnstime	1416	GtLength	12	EstLength(rescaled)	36
OffsetError:	GtID	P1-17-11	EstID	P1-14-10	GtSitch	C2	EstSitch	C2	GtOnstime	2383	EstOnstime	1452	GtLength	12	EstLength(rescaled)	92
# Correspondence of matched notes (GtID vs EstID)
P1-1-3	P1-1-1
P1-1-4	P1-1-2
P1-1-5	P1-1-4
P1-1-6	P1-1-5
P1-1-7	P1-1-8
P1-1-9	P1-1-9
P1-1-10	P1-1-11
P1-1-12	P1-1-12
P1-1-13	P1-1-13
P1-1-14	P1-1-14
P1-1-15	P1-1-15
P1-1-16	P1-1-16
P1-2-1	P1-1-17
P1-2-2	P1-1-18
P1-2-3	P1-1-19
P1-3-1	P1-2-1
P1-4-1	P1-3-7
P1-4-2	P1-4-1
P1-4-3	P1-4-2
P1-4-4	P1-4-3
P1-4-5	P1-4-4
P1-4-6	P1-4-5
P1-4-7	P1-4-6
P1-4-8	P1-4-7
P1-4-9	P1-4-8
P1-5-1	P1-4-9
P1-5-2	P1-4-10
P1-5-3	P1-4-11
P1-5-4	P1-4-12
P1-5-5	P1-5-1
P1-5-6	P1-5-2
P1-5-7	P1-5-3
P1-5-8	P1-5-4
P1-5-9	P1-5-5
P1-5-10	P1-5-6
P1-5-11	P1-5-7
P1-6-1	P1-5-8
P1-6-2	P1-5-9
P1-6-4	P1-5-10
P1-6-5	P1-5-11
P1-6-6	P1-6-1
P1-6-7	P1-6-2
P1-6-8	P1-6-3
P1-6-9	P1-6-4
P1-6-10	P1-6-5
P1-6-11	P1-6-6
P1-6-12	P1-6-7
P1-6-13	P1-6-8
P1-7-1	P1-6-9
P1-7-2	P1-6-10
P1-7-3	P1-6-11
P1-7-4	P1-6-12
P1-7-5	P1-7-1
P1-7-6	P1-7-2
P1-7-7	P1-7-3
P1-7-8	P1-7-4
P1-7-9	P1-7-5
P1-10-1	P1-7-6
P1-10-2	P1-8-1
P1-10-3	P1-8-2
P1-10-4	P1-8-3
P1-10-5	P1-8-4
P1-10-6	P1-8-5
P1-10-7	P1-8-6
P1-10-8	P1-9-1
P1-10-9	P1-9-2
P1-11-1	P1-9-3
P1-11-2	P1-9-4
P1-11-3	P1-9-5
P1-11-10	P1-9-6
P1-13-1	P1-10-1
P1-13-2	P1-10-2
P1-13-3	P1-10-3
P1-15-1	P1-11-1
P1-15-2	P1-11-4
P1-15-3	P1-11-5
P1-15-4	P1-12-1
P1-15-5	P1-12-2
P1-15-7	P1-12-3
P1-15-8	P1-12-4
P1-15-9	P1-12-5
P1-15-10	P1-12-6
P1-15-11	P1-12-7
P1-16-1	P1-12-8
P1-16-2	P1-12-9
P1-16-3	P1-12-10
P1-16-4	P1-12-11
P1-16-5	P1-13-7
P1-16-6	P1-13-8
P1-16-7	P1-13-9
P1-16-8	P1-13-10
P1-16-9	P1-13-11
P1-16-10	P1-13-12
P1-16-11	P1-14-1
P1-16-12	P1-14-2
P1-17-1	P1-14-3
P1-17-2	P1-14-4
P1-17-3	P1-14-5
P1-17-4	P1-14-6
P1-17-5	P1-14-7
P1-17-9	P1-14-8
P1-17-10	P1-14-9
P1-17-11	P1-14-10
P1-18-4	P1-14-11
P1-18-5	P1-14-12
P1-18-6	P1-15-1
P1-18-7	P1-15-2
P1-18-8	P1-15-3
P1-18-9	P1-15-4
P1-18-10	P1-15-5
P1-18-11	P1-15-6
P1-18-12	P1-15-7
P1-18-13	P1-15-8
P1-19-1	P1-15-9
P1-19-2	P1-15-10
P1-19-3	P1-15-11
P1-19-4	P1-15-12
P1-19-5	P1-16-1

#notes in GT score:	137
#notes in EST score:	137
nPitchError:	2
nMissNote:	19
nExtraNote:	19
nOnsetError(RhythmCorrectionCost):	20
nOffsetError:	16
nVoiceError:	0
nHandError:	0

PitchER(%):	1.45985
MissRate(%):	13.8686
ExtraRate(%):	13.8686
OnsetER(%):	16.9492
OffsetER(%):	13.5593
MeanER(%):	11.9411
VoiceER(%):	0
NewMeanER(%):	9.95093
Pvoi(%):	100
Rvoi(%):	100
Fvoi(%):	100
ScaleErr:	1.23145
HandER(%):	0

PitchER,MissRate,ExtraRate,OnsetER,OffsetER,MeanER,VoiceER,NewMeanER,Pvoi,Rvoi,Fvoi,ScaleErr,HandER:	1.45985	13.8686	13.8686	16.9492	13.5593	11.9411	0	9.95093	100	100	100	1.23145	0
