//TPQN: 50
//HmmVersion: 170101
0	0	1	CH	1	1	0	0	0	1	G5	0	P1-1-1	
25	25	1	CH	1	1	0	0	0	1	D4	0	P1-1-2	
37	37	1	CH	1	1	0	0	0	1	A4	0	P1-1-3	
87	87	1	CH	1	1	0	0	0	1	G4	0	P1-1-4	
137	137	1	CH	1	1	0	0	0	1	E5	0	P1-1-5	
187	187	1	CH	1	1	0	0	0	1	F#4	0	P1-1-6	
237	237	1	CH	1	1	0	0	0	1	D5	0	P1-1-7	
337	337	1	CH	1	1	0	0	0	1	D5	0	P1-2-1	
537	537	1	CH	1	1	0	0	0	1	E5	0	P1-2-2	
587	587	1	CH	1	1	0	0	0	1	C#5	0	P1-2-3	
687	687	1	CH	1	1	0	0	0	1	E5	0	P1-2-4	
737	737	1	CH	1	1	0	0	0	1	E5	0	P1-2-5	
937	937	1	CH	1	1	0	0	0	1	D5	0	P1-3-1	
1037	1037	1	CH	1	1	0	0	0	1	D5	0	P1-3-2	
1137	1137	1	CH	1	1	0	0	0	1	E5	0	P1-3-3	
1187	1187	1	CH	1	1	0	0	0	1	F#5	0	P1-4-1	
1587	1587	1	CH	1	1	0	0	0	1	G5	0	P1-4-2	
1599	1599	1	CH	1	1	0	0	0	1	A5	0	P1-4-3	
1611	1611	1	CH	1	1	0	0	0	1	G3	0	P1-5-1	
1623	1623	1	CH	1	1	0	0	0	1	G3	0	P1-5-2	
1635	1635	1	CH	1	1	0	0	0	1	G5	0	P1-6-1	
1647	1647	1	CH	1	1	0	0	0	1	G5	0	P1-6-2	
1659	1659	1	CH	1	1	0	0	0	1	F#5	0	P1-6-3	
2059	2059	1	CH	1	1	0	0	0	1	E5	0	P1-7-1	
2459	2459	1	CH	1	1	0	0	0	1	D5	0	P1-7-2	
2859	2859	1	CH	1	1	0	0	0	1	A5	0	P1-7-3	
2909	2909	1	CH	1	1	0	0	0	1	D4	0	P1-8-1	
2921	2921	1	CH	1	1	0	0	0	1	D4	0	P1-8-2	
2933	2933	1	CH	1	1	0	0	0	1	D5	0	P1-8-3	
3033	3033	1	CH	1	1	0	0	0	1	G5	0	P1-8-4	
3045	3045	1	CH	1	1	0	0	0	1	B5	0	P1-8-5	
3057	3057	1	CH	1	1	0	0	0	1	A5	0	P1-8-6	
3069	3069	1	CH	1	1	0	0	0	1	A5	0	P1-8-7	
3081	3081	1	CH	1	1	0	0	0	1	G5	0	P1-9-1	
3093	3093	1	CH	1	1	0	0	0	1	G5	0	P1-9-2	
3105	3105	1	CH	1	1	0	0	0	1	F#5	0	P1-9-3	
3130	3130	1	CH	1	1	0	0	0	1	D5	0	P1-9-4	
3155	3155	1	CH	1	1	0	0	0	1	F#5	0	P1-9-5	
3555	3555	1	CH	1	1	0	0	0	1	E5	0	P1-9-6	
3580	3580	1	CH	1	1	0	0	0	1	E5	0	P1-9-7	
3680	3680	1	CH	1	1	0	0	0	1	D5	0	P1-9-8	
3780	3780	1	CH	1	1	0	0	0	1	A4	0	P1-9-9	
3880	3880	1	CH	1	1	0	0	0	1	D4	0	P1-9-10	
3892	3892	1	CH	1	1	0	0	0	1	D4	0	P1-9-11	
3904	3904	1	CH	1	1	0	0	0	1	A4	0	P1-10-1	
4104	4104	1	CH	1	1	0	0	0	1	D5	0	P1-10-2	
4304	4304	1	CH	1	1	0	0	0	1	D4	0	P1-10-3	
4316	4316	1	CH	1	1	0	0	0	1	F#4	0	P1-10-4	
4516	4516	1	CH	1	1	0	0	0	1	D4	0	P1-10-5	
4528	4528	1	CH	1	1	0	0	0	1	G4	0	P1-10-6	
4728	4728	1	CH	1	1	0	0	0	1	E5	0	P1-10-7	
