//Version: ScorePerfmMatch_v170503
// Score: gt_hmm.txt
// Perfm: est_spr.txt
// fmt3x: gt_fmt3x.txt
P1-1-1	0	0.24	G4	80	80	0	0	1684	P1-7-10	0	0
P1-1-2	0.24	0.36	C5	80	80	0	0	1684	P1-7-10	0	-
P1-1-3	0.36	0.48	E3	80	80	0	0	1690	P1-7-11	1	-
P1-1-4	0.48	0.72	A4	80	80	0	0	1702	P1-7-12	0	-
P1-1-5	0.72	0.96	G4	80	80	0	0	1708	P1-7-13	0	-
P1-1-6	0.96	1.2	F#4	80	80	0	0	1714	P1-7-14	1	-
P1-1-7	1.2	1.44	G4	80	80	0	0	1739	P1-7-15	1	-
P1-1-8	1.44	1.68	A4	80	80	0	0	1751	P1-7-16	0	-
P1-1-9	1.68	1.92	B4	80	80	0	0	1757	P1-7-17	0	-
P1-1-10	1.92	2.16	A4	80	80	0	0	1794	P1-7-20	0	-
P1-1-11	2.16	2.4	G4	80	80	0	0	1874	P1-7-24	1	-
P1-1-12	2.4	2.64	A4	80	80	0	0	1904	P1-7-29	0	-
P1-1-13	2.64	2.88	B4	80	80	0	0	1934	P1-7-33	1	-
P1-1-14	2.88	3	B2	80	80	0	0	1984	P1-7-34	1	-
P1-1-15	3	3.12	A2	80	80	0	0	1996	P1-7-36	1	-
P1-1-16	3.12	3.24	G2	80	80	0	0	2008	P1-7-38	1	-
P1-1-17	3.24	3.36	D5	80	80	0	0	2020	P1-7-40	1	-
P1-1-18	3.36	3.48	B4	80	80	0	0	2032	P1-8-1	1	-
P1-1-19	3.48	3.6	G3	80	80	0	-1	-1	*	3	-
P1-1-20	3.6	3.72	F#3	80	80	0	0	2132	P1-8-2	0	-
P1-1-21	3.72	3.84	C5	80	80	0	0	2157	P1-8-3	1	-
P1-1-22	3.84	3.96	A4	80	80	0	0	2163	P1-8-4	0	-
P1-1-23	3.96	4.08	E3	80	80	0	0	2169	P1-8-5	1	-
P1-1-24	4.08	4.2	G3	80	80	0	-1	-1	*	3	-
