//Version: PianoRoll_v170101
P1-1-1	0.000000	0.240000	B2	80	80	0
P1-1-2	0.240000	0.480000	B3	80	80	0
P1-1-3	0.480000	0.720000	C#4	80	80	0
P1-1-4	0.720000	0.960000	D#4	80	80	0
P1-1-5	0.960000	1.200000	E4	80	80	0
P1-1-6	1.200000	1.440000	F#4	80	80	0
P1-1-7	1.440000	1.680000	G#4	80	80	0
P1-1-8	1.680000	1.800000	A#4	80	80	0
P1-1-9	1.800000	1.920000	B4	80	80	0
P1-1-10	1.920000	2.040000	A#4	80	80	0
P1-1-11	2.040000	2.160000	B4	80	80	0
P1-1-12	2.160000	2.400000	B3	80	80	0
P1-1-13	2.400000	2.640000	A#3	80	80	0
P1-1-14	2.640000	2.760000	C#5	80	80	0
P1-1-15	2.760000	3.000000	G#3	80	80	0
P1-1-16	3.000000	3.120000	F#3	80	80	0
P1-1-17	3.120000	3.240000	D#5	80	80	0
P1-1-18	3.240000	3.360000	D#5	80	80	0
P1-1-19	3.360000	3.480000	C#5	80	80	0
P1-1-20	3.480000	3.720000	E3	80	80	0
P1-1-21	3.720000	3.840000	D#5	80	80	0
P1-1-22	3.840000	4.080000	D#3	80	80	0
P1-2-1	4.080000	4.200000	C#5	80	80	0
P1-2-2	4.200000	4.440000	C#3	80	80	0
P1-2-3	4.440000	4.560000	B4	80	80	0
P1-2-4	4.560000	4.680000	C#5	80	80	0
P1-2-5	4.680000	4.920000	B2	80	80	0
P1-2-6	4.920000	5.160000	D#5	80	80	0
P1-2-7	5.160000	5.400000	A#4	80	80	0
P1-2-8	5.400000	5.640000	B4	80	80	0
P1-2-9	5.640000	5.760000	D#5	80	80	0
P1-2-10	5.760000	5.880000	D#3	80	80	0
P1-2-11	5.880000	6.000000	E5	80	80	0
P1-2-12	6.000000	6.120000	C#3	80	80	0
P1-2-13	6.120000	6.240000	D#3	80	80	0
P1-2-14	6.240000	6.480000	A#4	80	80	0
P1-2-15	6.480000	6.600000	C#3	80	80	0
P1-2-16	6.600000	6.840000	B4	80	80	0
P1-2-17	6.840000	6.960000	B2	80	80	0
P1-2-18	6.960000	7.080000	E5	80	80	0
P1-2-19	7.080000	7.200000	C#3	80	80	0
P1-2-20	7.200000	7.440000	F#5	80	80	0
P1-2-21	7.440000	7.940000	D#3	80	80	0
P1-2-22	7.940000	8.180000	B4	80	80	0
P1-2-23	8.180000	8.420000	G#5	80	80	0
P1-2-24	8.420000	8.540000	F#5	80	80	0
P1-2-25	8.540000	8.660000	E3	80	80	0
P1-2-26	8.660000	8.780000	F#3	80	80	0
