//Version: ScorePerfmMatch_v170503
// Score: gt_hmm.txt
// Perfm: est_spr.txt
// fmt3x: gt_fmt3x.txt
P1-1-1	0	0.24	D#4	80	80	0	-1	1139	*	3	0
P1-1-2	0.24	0.48	D2	80	80	0	-1	1155	*	3	-
P1-1-3	0.48	0.98	B3	80	80	0	-1	1276	*	3	-
P1-1-4	0.98	1.22	D2	80	80	0	-1	1287	*	3	-
P1-1-5	1.3	1.54	D2	80	80	0	-1	1303	*	3	-
P1-1-6	1.64	2.14	C4	80	80	0	-1	1401	*	3	-
P1-1-7	2.14	2.38	D2	80	80	0	-1	1418	*	3	-
P1-1-8	2.38	2.88	G#3	80	80	0	-1	1442	*	3	-
P1-1-9	2.88	3.12	D2	80	80	0	-1	1418	*	3	-
P1-1-10	3.24	3.48	D2	80	80	0	-1	1418	*	3	-
P1-1-11	3.56	3.8	G#3	80	80	0	-1	1442	*	3	-
P1-1-12	3.8	4.04	B3	80	80	0	-1	1454	*	3	-
P1-1-13	4.04	4.28	E4	80	80	0	-1	1454	*	3	-
P1-1-14	4.28	4.52	D2	80	80	0	-1	1470	*	3	-
P1-1-15	4.62	4.86	G#3	80	80	0	-1	1442	*	3	-
P1-1-16	4.86	5.1	E4	80	80	0	-1	1454	*	3	-
P1-1-17	5.1	5.34	D2	80	80	0	-1	1470	*	3	-
P1-1-18	5.34	5.58	B3	80	80	0	-1	1482	*	3	-
P1-1-19	5.66	5.9	E4	80	80	0	-1	1482	*	3	-
P1-1-20	5.9	6.14	G#3	80	80	0	-1	1494	*	3	-
P1-1-21	6.14	6.38	B3	80	80	0	-1	1506	*	3	-
P1-1-22	6.38	6.62	D2	80	80	0	-1	1523	*	3	-
P1-1-23	6.72	7.22	C4	80	80	0	-1	1506	*	3	-
P1-1-24	7.22	7.46	D2	80	80	0	-1	1523	*	3	-
P1-1-25	7.46	7.96	A3	80	80	0	-1	1541	*	3	-
P1-1-26	7.96	8.2	D2	80	80	0	-1	1552	*	3	-
P1-1-27	8.32	8.56	D2	80	80	0	-1	1568	*	3	-
P1-2-1	8.56	9.06	C#4	80	80	0	-1	1609	*	3	-
P1-2-2	9.06	9.56	F4	80	80	0	-1	1597	*	3	-
P1-2-3	9.56	10.06	A3	80	80	0	-1	1603	*	3	-
P1-2-4	10.06	10.3	D2	80	80	0	-1	1568	*	3	-
P1-2-5	10.3	10.54	D2	80	80	0	-1	1585	*	3	-
P1-2-6	10.62	10.86	D2	80	80	0	-1	1552	*	3	-
P1-2-7	10.96	11.2	D2	80	80	0	-1	1523	*	3	-
P1-2-8	11.2	11.7	A#3	80	80	0	-1	1535	*	3	-
P1-2-9	11.7	12.2	D4	80	80	0	-1	1506	*	3	-
P1-2-10	12.2	12.44	D2	80	80	0	-1	1470	*	3	-
P1-2-11	12.56	12.8	D2	80	80	0	-1	1470	*	3	-
P1-2-12	12.88	13.38	A3	80	80	0	-1	1442	*	3	-
P1-2-13	13.38	13.88	F#4	80	80	0	-1	1401	*	3	-
P1-2-14	13.88	14.12	D#2	80	80	0	-1	1365	*	3	-
P1-2-15	14.12	14.62	C4	80	80	0	-1	1377	*	3	-
