ExtraNote:	EstID	P1-3-22	sitch	F6	onstime	905
ExtraNote:	EstID	P1-3-21	sitch	C#5	onstime	893
ExtraNote:	EstID	P1-3-20	sitch	G#4	onstime	881
ExtraNote:	EstID	P1-3-19	sitch	F4	onstime	869
ExtraNote:	EstID	P1-2-17	sitch	G#4	onstime	508
ExtraNote:	EstID	P1-2-16	sitch	F#4	onstime	496
ExtraNote:	EstID	P1-1-6	sitch	F#4	onstime	30
ExtraNote:	EstID	P1-3-30	sitch	D#5	onstime	1014
ExtraNote:	EstID	P1-1-9	sitch	C5	onstime	73
MissNote:	GtID	P1-5-7	sitch	D#6	onstime	1100
MissNote:	GtID	P1-4-24	sitch	C#5	onstime	978
MissNote:	GtID	P1-4-22	sitch	F5	onstime	954
MissNote:	GtID	P1-4-21	sitch	F4	onstime	942
MissNote:	GtID	P1-4-19	sitch	C#5	onstime	880
MissNote:	GtID	P1-3-7	sitch	C6	onstime	456
MissNote:	GtID	P1-3-6	sitch	D#5	onstime	444
MissNote:	GtID	P1-1-9	sitch	G#4	onstime	96
MissNote:	GtID	P1-1-1	sitch	F#4	onstime	0
PitchError:	GtID	P1-3-3	EstID	P1-2-10	GtSitch	D#4	EstSitch	F4	GtOnstime	408	EstOnstime	411
PitchError:	GtID	P1-3-4	EstID	P1-2-11	GtSitch	G#4	EstSitch	C#5	GtOnstime	420	EstOnstime	423
PitchError:	GtID	P1-3-5	EstID	P1-2-12	GtSitch	F#4	EstSitch	G#4	GtOnstime	432	EstOnstime	435
PitchError:	GtID	P1-3-8	EstID	P1-2-14	GtSitch	F4	EstSitch	C6	GtOnstime	468	EstOnstime	459
PitchError:	GtID	P1-3-10	EstID	P1-2-15	GtSitch	C#5	EstSitch	D#4	GtOnstime	530	EstOnstime	484
PitchError:	GtID	P1-3-11	EstID	P1-2-18	GtSitch	G#4	EstSitch	D#5	GtOnstime	542	EstOnstime	520
PitchError:	GtID	P1-4-11	EstID	P1-3-8	GtSitch	G#5	EstSitch	F5	GtOnstime	784	EstOnstime	724
PitchError:	GtID	P1-4-20	EstID	P1-3-16	GtSitch	F6	EstSitch	G#5	GtOnstime	892	EstOnstime	820
PitchError:	GtID	P1-4-23	EstID	P1-3-17	GtSitch	G#4	EstSitch	C#5	GtOnstime	966	EstOnstime	832
OnsetError(shift):	GtID	P1-1-7	EstID	P1-1-7	GtSitch	C6	EstSitch	C6	GtOnstime	72	EstOnstime	55
OnsetError(scale):	GtID	P1-1-8	EstID	P1-1-8	GtSitch	C5	EstSitch	G#4	GtOnstime	84	EstOnstime	61
OnsetError(shift):	GtID	P1-2-17	EstID	P1-2-5	GtSitch	F4	EstSitch	F4	GtOnstime	348	EstOnstime	338
OnsetError(shift):	GtID	P1-3-1	EstID	P1-2-8	GtSitch	G#4	EstSitch	G#4	GtOnstime	384	EstOnstime	387
OnsetError(shift):	GtID	P1-3-8	EstID	P1-2-14	GtSitch	F4	EstSitch	C6	GtOnstime	468	EstOnstime	459
OnsetError(shift):	GtID	P1-3-9	EstID	P1-2-13	GtSitch	C#6	EstSitch	C#6	GtOnstime	480	EstOnstime	447
OnsetError(shift):	GtID	P1-3-10	EstID	P1-2-15	GtSitch	C#5	EstSitch	D#4	GtOnstime	530	EstOnstime	484
OnsetError(shift):	GtID	P1-3-11	EstID	P1-2-18	GtSitch	G#4	EstSitch	D#5	GtOnstime	542	EstOnstime	520
OnsetError(shift):	GtID	P1-4-7	EstID	P1-3-4	GtSitch	C#5	EstSitch	C#5	GtOnstime	736	EstOnstime	676
OnsetError(shift):	GtID	P1-4-17	EstID	P1-3-15	GtSitch	F5	EstSitch	F5	GtOnstime	856	EstOnstime	808
OnsetError(shift):	GtID	P1-4-18	EstID	P1-3-14	GtSitch	G#4	EstSitch	G#4	GtOnstime	868	EstOnstime	796
OnsetError(shift):	GtID	P1-4-23	EstID	P1-3-17	GtSitch	G#4	EstSitch	C#5	GtOnstime	966	EstOnstime	832
OnsetError(shift):	GtID	P1-5-1	EstID	P1-3-18	GtSitch	C#6	EstSitch	C#6	GtOnstime	990	EstOnstime	844
OnsetError(shift):	GtID	P1-5-2	EstID	P1-3-23	GtSitch	C6	EstSitch	C6	GtOnstime	1002	EstOnstime	917
OnsetError(shift):	GtID	P1-5-3	EstID	P1-3-24	GtSitch	F#4	EstSitch	F#4	GtOnstime	1052	EstOnstime	942
OnsetError(shift):	GtID	P1-5-8	EstID	P1-3-28	GtSitch	F#4	EstSitch	F#4	GtOnstime	1150	EstOnstime	990
OnsetError(shift):	GtID	P1-5-10	EstID	P1-3-31	GtSitch	C5	EstSitch	C5	GtOnstime	1174	EstOnstime	1026
OnsetError(shift):	GtID	P1-5-13	EstID	P1-4-2	GtSitch	F4	EstSitch	F4	GtOnstime	1210	EstOnstime	1075
OnsetError(shift):	GtID	P1-5-15	EstID	P1-4-4	GtSitch	G#4	EstSitch	G#4	GtOnstime	1272	EstOnstime	1099
OnsetError(shift):	GtID	P1-5-21	EstID	P1-4-10	GtSitch	B4	EstSitch	B4	GtOnstime	1432	EstOnstime	1171
OnsetError(shift):	GtID	P1-6-13	EstID	P1-4-25	GtSitch	F4	EstSitch	F4	GtOnstime	1650	EstOnstime	1351
OnsetError(shift):	GtID	P1-6-20	EstID	P1-4-32	GtSitch	G4	EstSitch	G4	GtOnstime	1772	EstOnstime	1448
OnsetError(shift):	GtID	P1-7-1	EstID	P1-5-1	GtSitch	E4	EstSitch	E4	GtOnstime	1956	EstOnstime	1544
OffsetError:	GtID	P1-1-6	EstID	P1-1-5	GtSitch	F#6	EstSitch	F#6	GtOnstime	60	EstOnstime	24	GtLength	12	EstLength(rescaled)	2
OffsetError:	GtID	P1-3-5	EstID	P1-2-12	GtSitch	F#4	EstSitch	G#4	GtOnstime	432	EstOnstime	435	GtLength	12	EstLength(rescaled)	48
OffsetError:	GtID	P1-3-8	EstID	P1-2-14	GtSitch	F4	EstSitch	C6	GtOnstime	468	EstOnstime	459	GtLength	12	EstLength(rescaled)	62
OffsetError:	GtID	P1-3-9	EstID	P1-2-13	GtSitch	C#6	EstSitch	C#6	GtOnstime	480	EstOnstime	447	GtLength	50	EstLength(rescaled)	-12
OffsetError:	GtID	P1-3-10	EstID	P1-2-15	GtSitch	C#5	EstSitch	D#4	GtOnstime	530	EstOnstime	484	GtLength	12	EstLength(rescaled)	4
OffsetError:	GtID	P1-4-16	EstID	P1-3-13	GtSitch	F4	EstSitch	F4	GtOnstime	844	EstOnstime	784	GtLength	12	EstLength(rescaled)	24
OffsetError:	GtID	P1-4-17	EstID	P1-3-15	GtSitch	F5	EstSitch	F5	GtOnstime	856	EstOnstime	808	GtLength	12	EstLength(rescaled)	36
OffsetError:	GtID	P1-4-18	EstID	P1-3-14	GtSitch	G#4	EstSitch	G#4	GtOnstime	868	EstOnstime	796	GtLength	12	EstLength(rescaled)	-12
OffsetError:	GtID	P1-4-20	EstID	P1-3-16	GtSitch	F6	EstSitch	G#5	GtOnstime	892	EstOnstime	820	GtLength	50	EstLength(rescaled)	74
OffsetError:	GtID	P1-4-23	EstID	P1-3-17	GtSitch	G#4	EstSitch	C#5	GtOnstime	966	EstOnstime	832	GtLength	12	EstLength(rescaled)	24
OffsetError:	GtID	P1-5-1	EstID	P1-3-18	GtSitch	C#6	EstSitch	C#6	GtOnstime	990	EstOnstime	844	GtLength	12	EstLength(rescaled)	4
OffsetError:	GtID	P1-5-6	EstID	P1-3-27	GtSitch	C5	EstSitch	C5	GtOnstime	1088	EstOnstime	978	GtLength	12	EstLength(rescaled)	62
OffsetError:	GtID	P1-5-9	EstID	P1-3-29	GtSitch	D#5	EstSitch	D#6	GtOnstime	1162	EstOnstime	1002	GtLength	12	EstLength(rescaled)	6
# Correspondence of matched notes (GtID vs EstID)
P1-1-2	P1-1-1
P1-1-3	P1-1-2
P1-1-4	P1-1-3
P1-1-5	P1-1-4
P1-1-6	P1-1-5
P1-1-7	P1-1-7
P1-1-8	P1-1-8
P1-1-10	P1-1-10
P1-1-11	P1-1-11
P1-1-12	P1-1-12
P1-1-13	P1-1-13
P1-2-1	P1-1-14
P1-2-2	P1-1-15
P1-2-3	P1-1-16
P1-2-4	P1-1-17
P1-2-5	P1-1-18
P1-2-6	P1-1-19
P1-2-7	P1-1-20
P1-2-8	P1-1-21
P1-2-9	P1-1-22
P1-2-10	P1-1-23
P1-2-11	P1-1-24
P1-2-12	P1-1-25
P1-2-13	P1-2-1
P1-2-14	P1-2-2
P1-2-15	P1-2-3
P1-2-16	P1-2-4
P1-2-17	P1-2-5
P1-2-18	P1-2-6
P1-2-19	P1-2-7
P1-3-1	P1-2-8
P1-3-2	P1-2-9
P1-3-3	P1-2-10
P1-3-4	P1-2-11
P1-3-5	P1-2-12
P1-3-8	P1-2-14
P1-3-9	P1-2-13
P1-3-10	P1-2-15
P1-3-11	P1-2-18
P1-3-12	P1-2-19
P1-3-13	P1-2-20
P1-3-14	P1-2-21
P1-3-15	P1-2-22
P1-3-16	P1-2-23
P1-3-17	P1-2-24
P1-4-1	P1-2-25
P1-4-2	P1-2-26
P1-4-3	P1-2-27
P1-4-4	P1-3-1
P1-4-5	P1-3-2
P1-4-6	P1-3-3
P1-4-7	P1-3-4
P1-4-8	P1-3-5
P1-4-9	P1-3-6
P1-4-10	P1-3-7
P1-4-11	P1-3-8
P1-4-12	P1-3-9
P1-4-13	P1-3-10
P1-4-14	P1-3-11
P1-4-15	P1-3-12
P1-4-16	P1-3-13
P1-4-17	P1-3-15
P1-4-18	P1-3-14
P1-4-20	P1-3-16
P1-4-23	P1-3-17
P1-5-1	P1-3-18
P1-5-2	P1-3-23
P1-5-3	P1-3-24
P1-5-4	P1-3-25
P1-5-5	P1-3-26
P1-5-6	P1-3-27
P1-5-8	P1-3-28
P1-5-9	P1-3-29
P1-5-10	P1-3-31
P1-5-11	P1-3-32
P1-5-12	P1-4-1
P1-5-13	P1-4-2
P1-5-14	P1-4-3
P1-5-15	P1-4-4
P1-5-16	P1-4-5
P1-5-17	P1-4-6
P1-5-18	P1-4-7
P1-5-19	P1-4-8
P1-5-20	P1-4-9
P1-5-21	P1-4-10
P1-5-22	P1-4-11
P1-5-23	P1-4-12
P1-6-1	P1-4-13
P1-6-2	P1-4-14
P1-6-3	P1-4-15
P1-6-4	P1-4-16
P1-6-5	P1-4-17
P1-6-6	P1-4-18
P1-6-7	P1-4-19
P1-6-8	P1-4-20
P1-6-9	P1-4-21
P1-6-10	P1-4-22
P1-6-11	P1-4-23
P1-6-12	P1-4-24
P1-6-13	P1-4-25
P1-6-14	P1-4-26
P1-6-15	P1-4-27
P1-6-16	P1-4-28
P1-6-17	P1-4-29
P1-6-18	P1-4-30
P1-6-19	P1-4-31
P1-6-20	P1-4-32
P1-6-21	P1-4-33
P1-6-22	P1-4-34
P1-6-23	P1-4-35
P1-6-24	P1-4-36
P1-6-25	P1-4-37
P1-6-26	P1-4-38
P1-6-27	P1-4-39
P1-7-1	P1-5-1
P1-7-2	P1-5-2
P1-7-3	P1-5-3
P1-7-4	P1-5-4
P1-7-5	P1-5-5
P1-7-6	P1-5-6
P1-7-7	P1-5-7
P1-7-8	P1-5-8
P1-7-9	P1-5-9
P1-7-10	P1-5-10
P1-7-11	P1-5-11
P1-7-12	P1-5-12
P1-7-13	P1-5-13
P1-7-14	P1-5-14

#notes in GT score:	137
#notes in EST score:	137
nPitchError:	9
nMissNote:	9
nExtraNote:	9
nOnsetError(RhythmCorrectionCost):	24
nOffsetError:	13
nVoiceError:	0
nHandError:	0

PitchER(%):	6.56934
MissRate(%):	6.56934
ExtraRate(%):	6.56934
OnsetER(%):	18.75
OffsetER(%):	10.1562
MeanER(%):	9.72286
VoiceER(%):	0
NewMeanER(%):	8.10238
Pvoi(%):	100
Rvoi(%):	100
Fvoi(%):	100
ScaleErr:	1.10193
HandER(%):	0

PitchER,MissRate,ExtraRate,OnsetER,OffsetER,MeanER,VoiceER,NewMeanER,Pvoi,Rvoi,Fvoi,ScaleErr,HandER:	6.56934	6.56934	6.56934	18.75	10.1562	9.72286	0	8.10238	100	100	100	1.10193	0
